pl_name,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim
HD 3167 b,Transit,0.95964100,0.00001100,-0.00001200,0,5.02000,0.38000,-0.38000,0
Kepler-26 b,Transit,12.28000000,,,0,5.02000,0.68000,-0.64000,0
K2-141 b,Transit,0.28032440,0.00000150,-0.00000150,0,5.08000,0.41000,-0.41000,0
Kepler-21 b,Transit,2.78578000,0.00003000,-0.00003000,0,5.08000,1.72000,-1.72000,0
Kepler-105 b,Transit,5.41200000,,,0,5.10000,6.30000,-4.10000,0
Kepler-223 c,Transit,9.84564000,0.00052000,-0.00051000,0,5.10000,1.70000,-1.10000,0
Kepler-26 b,Transit,12.28000000,0.00030000,-0.00030000,0,5.12000,0.65000,-0.61000,0
K2-141 b,Transit,0.28000000,,,0,5.16000,0.35000,-0.34000,0
GJ 9827 d,Transit,6.20146700,0.00006200,-0.00006100,0,5.20000,1.80000,-1.20000,0
Kepler-102 f,Transit,27.45360000,,,0,5.20000,,,1
Kepler-138 c,Transit,13.78156400,0.00008200,-0.00009500,0,5.20000,1.20000,-1.20000,0
K2-111 b,Transit,5.35180000,0.00040000,-0.00040000,0,5.29000,0.76000,-0.77000,0
Kepler-106 b,Transit,6.16486000,,,0,5.30000,,,1
Kepler-197 c,Transit,10.35000000,,,0,5.30000,3.30000,-2.90000,0
TOI-1246 d,Transit,18.65590000,0.00048000,-0.00048000,0,5.30000,1.70000,-1.70000,0
TOI-776 c,Transit,15.66530000,0.00040000,-0.00030000,0,5.30000,1.80000,-1.80000,0
K2-141 b,Transit,0.28032260,0.00000130,-0.00000130,0,5.31000,0.46000,-0.46000,0
TOI-561 c,Transit,10.77883100,0.00003400,-0.00003600,0,5.39000,0.69000,-0.68000,0
Kepler-177 b,Transit,36.85500000,,,0,5.40000,1.00000,-0.90000,0
Kepler-65 c,Transit,5.85969700,0.00009300,-0.00009900,0,5.40000,1.70000,-1.70000,0
TOI-561 c,Transit,10.77900000,0.00400000,-0.00400000,0,5.40000,0.98000,-0.98000,0
Kepler-1705 c,Transit,11.28000000,0.00110000,-0.00090000,0,5.42000,0.61000,-0.57000,0
Kepler-33 e,Transit,31.78400000,,,0,5.50000,1.20000,-1.10000,0
OGLE-2005-BLG-390L b,Microlensing,3285.00000000,3285.00000000,-1095.00000000,0,5.50000,5.50000,-2.70000,0
TOI-1695 b,Transit,3.13427900,0.00000720,-0.00000720,0,5.50000,1.00000,-1.00000,0
