pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_massj,pl_dens,pl_orbincl,pl_ttvflag,ra,dec,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name,pl_rade
Kepler-20,b,Transit,3.6961219,0.04537,0.396,0.0274,6.5,86.5,0,287.698004,42.338726,290,,5455,0.91,0.94,,,1.91
Kepler-23,b,Transit,7.1073,0.075,,0.8,,,0,294.218924,49.479225,800,,5760,1.11,1.52,,,1.9
Kepler-33,b,Transit,5.66793,0.0677,0,,,86.39,0,289.077548,46.005222,,,5904,1.29,1.82,,,1.74
CoRoT-7,b,Transit,0.853585,0.0172,0,0.015,5.6,80.1,,100.956125,-1.063033,150,,5275,0.93,0.87,,,1.68
Kepler-9,d,Transit,1.592851,0.0273,,,,,0,285.573978,38.400898,650,,5777,1.07,1.02,,,1.64
Kepler-21,b,Transit,2.785755,0.042507,0,0.03272,12.9,82.58,0,287.361816,38.714016,107.88,8.25,6131,1.34,1.86,HD 179070,HIP 94112,1.635
Kepler-36,b,Transit,13.83989,0.1153,0.039,0.014,7.46,90.01,,291.25018,49.231834,470,,5911,1.07,1.63,,,1.486
Kepler-10,b,Transit,0.837495,0.01684,0,0.014,8.8,84.4,1,285.679394,50.241299,173,,5627,0.89,1.06,,,1.416
Kepler-42,b,Transit,1.2137672,0.0116,,,,,0,292.218983,44.619339,38.7,,3068,0.13,0.17,,,0.78
Kepler-42,c,Transit,0.45328509,0.006,,,,,0,292.218983,44.619339,38.7,,3068,0.13,0.17,,,0.73
Kepler-42,d,Transit,1.865169,0.0154,,,,,0,292.218983,44.619339,38.7,,3068,0.13,0.17,,,0.57
HIP 5158,c,Radial Velocity,9017.8,7.7,0.14,15.04,,,,16.508533,-22.453154,44.8,10.167,4650,0.69,0.71,,HIP 5158,
HD 142,c,Radial Velocity,6005,6.8,0.21,5.3,,,,1.579898,-49.075191,25.64,5.7,6403,1.23,1.47,HD 142,HIP 522,
