loc_rowid,pl_name,sy_snum,sy_pnum,sy_mnum,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_dens,pl_eqt,st_teff,st_logg,sy_dist
4414,K2-30 b,1,1,0,2016,4.09850300,0.048390,11.646,184.02357,0.64000,1092,5425.00,4.54,333.0420000
4417,K2-30 b,1,1,0,2016,4.09849000,0.041900,11.982,187.20187,0.59800,1203,5575.00,4.60,333.0420000
4419,K2-30 b,1,1,0,2016,4.09850700,0.049860,13.406,198.00809,0.48300,1185,5581.00,4.48,333.0420000
4437,K2-32 b,2,4,0,2016,8.99200000,0.079500,5.299,15.00000,0.55000,837,5271.00,4.49,157.6820000
4440,K2-32 b,2,4,0,2016,8.99213000,0.080360,5.130,16.50000,0.67000,817,5275.00,4.49,157.6820000
4445,K2-32 c,2,4,0,2016,20.66093000,0.138430,3.134,8.10000,1.43000,634,5271.00,4.49,157.6820000
4451,K2-32 c,2,4,0,2016,20.66020000,0.139900,3.010,12.10000,2.70000,619,5275.00,4.49,157.6820000
4456,K2-32 d,2,4,0,2016,31.71701000,0.184220,3.484,6.70000,0.87000,550,5271.00,4.49,157.6820000
4461,K2-32 d,2,4,0,2016,31.71540000,0.186200,3.430,10.30000,1.38000,537,5275.00,4.49,157.6820000
4464,K2-32 e,2,4,0,2019,4.34934000,0.048990,1.212,2.10000,6.30000,1066,5271.00,4.49,157.6820000
4473,K2-329 b,1,1,0,2020,12.45512250,0.101600,8.676,82.63580,0.69400,650,5282.00,4.57,233.2370000
4515,K2-34 b,1,1,0,2016,2.99562900,0.046500,15.435,539.67534,0.80000,1715,6149.00,4.20,348.6460000
4526,K2-34 b,1,1,0,2016,2.99560700,0.044190,15.132,559.38080,0.94000,1742,6132.00,4.17,348.6460000
4595,K2-36 b,1,2,0,2016,1.42261400,0.022300,1.430,3.90000,7.20000,1224,4916.00,4.62,109.7490000
4604,K2-36 c,1,2,0,2016,5.34088800,0.054000,3.200,7.80000,1.30000,788,4916.00,4.62,109.7490000
